Sample_ID,Label,H2,CH4,C2H2,C2H4,C2H6,CO,CO2,Source_Type,Equipment_Group,Source_Description,Source_Location,Source_Ref
34,D1,645,86,317,110,13,74,114,Inspection-confirmed fault case,P,Tracking in bushing,PDF p.5 / printed p.35 / Table 3 / row 6,4
35,D1,60,10,4,4,4,780,7600,Inspection-confirmed fault case,R,Tracking to the ground in glue of central beam,PDF p.5 / printed p.35 / Table 3 / row 7,4
36,D1,6870,1028,5500,900,79,29,388,Inspection-confirmed fault case,S,500 OLTC normal operations,PDF p.5 / printed p.35 / Table 3 / row 9,8
37,D1,10092,5399,37565,6500,530,42,413,Inspection-confirmed fault case,S,3600 OLTC normal operations,PDF p.5 / printed p.35 / Table 3 / row 10,8
38,D1,650,81,270,51,170,380,2000,Inspection-confirmed fault case,,Poor shielding contact (electrical problem),PDF p.5 / printed p.35 / Table 3 / row 11,10
39,D1,210,22,7,6,6,19,74,Inspection-confirmed fault case,C,Traces of discharges in paper of cone junction of HV cable,PDF p.5 / printed p.35 / Table 3 / row 12,13
40,D1,385,60,159,53,8,465,1250,Inspection-confirmed fault case,R,Sparking from bushing to tank,PDF p.5 / printed p.35 / Table 3 / row 13,14
41,D1,4230,690,1180,196,5,438,791,Inspection-confirmed fault case,R,Sparking from bushing to tank,PDF p.5 / printed p.35 / Table 3 / row 14,14
42,D1,7600,1230,1560,836,318,4970,4080,Inspection-confirmed fault case,R,Tracking in paper,PDF p.5 / printed p.35 / Table 3 / row 15,14
43,D1,595,80,244,89,9,524,2100,Inspection-confirmed fault case,P,Low energy arcing on bushing,PDF p.5 / printed p.35 / Table 3 / row 16,14
44,D1,120,25,40,8,1,500,1600,Inspection-confirmed fault case,R,Low energy in core,PDF p.5 / printed p.35 / Table 3 / row 17,14
45,D1,6454,2313,6432,2159,121,3628,225,Inspection-confirmed fault case,R,Tracking in insulation,PDF p.5 / printed p.35 / Table 3 / row 19,14
46,D1,2177,1049,705,440,207,4571,3923,Inspection-confirmed fault case,R,Tracking from windings to beam,PDF p.5 / printed p.35 / Table 3 / row 20,14
47,D1,1790,580,619,336,321,956,4250,Inspection-confirmed fault case,R,Sparking / Tracking in insulation,PDF p.5 / printed p.35 / Table 3 / row 21,14
48,D1,1330,10,182,66,20,231,1820,Inspection-confirmed fault case,P,Sparking from core to ground,PDF p.5 / printed p.35 / Table 3 / row 22,14
49,D1,4,1,52,7,2,93,519,Inspection-confirmed fault case,U,Contamination from OLTC,PDF p.5 / printed p.35 / Table 3 / row 23,14
50,D1,1900,285,7730,957,31,681,732,Inspection-confirmed fault case,U,Defective OLTC operation,PDF p.5 / printed p.35 / Table 3 / row 24,14
51,D1,57,24,30,27,2,540,2518,Inspection-confirmed fault case,B,Low energy arcing in bushing,PDF p.5 / printed p.35 / Table 3 / row 25,14
52,D1,1000,500,500,400,1,200,1000,Inspection-confirmed fault case,B,"Low energy discharge in oil, signs of tracking along inner porcelain",PDF p.5 / printed p.35 / Table 3 / row 26,18
53,D2,440,89,757,304,19,299,1190,Inspection-confirmed fault case,P,"Flahover from LV to ground, external",PDF p.6 / printed p.36 / Table 4 / row 1,4
54,D2,210,43,187,102,12,167,1070,Inspection-confirmed fault case,S,Arc in selector switch,PDF p.6 / printed p.36 / Table 4 / row 2,4
55,D2,2850,1115,3675,1987,138,2330,4330,Inspection-confirmed fault case,U,Short circuit in distribution windings,PDF p.6 / printed p.36 / Table 4 / row 3,4
56,D2,545,130,239,153,16,660,2850,Inspection-confirmed fault case,P,Short circuit from LV to connector,PDF p.6 / printed p.36 / Table 4 / row 5,4
57,D2,7150,1440,1760,1210,97,608,2260,Inspection-confirmed fault case,P,Arcing from windings to porcelain,PDF p.6 / printed p.36 / Table 4 / row 6,4
58,D2,620,325,244,181,38,1480,2530,Inspection-confirmed fault case,U,Tertiary windings damaged by arcing,PDF p.6 / printed p.36 / Table 4 / row 7,4
59,D2,755,229,460,404,32,845,5580,Inspection-confirmed fault case,P,Short circuit in windings,PDF p.6 / printed p.36 / Table 4 / row 9,4
60,D2,13500,6110,4040,4510,212,8690,1460,Inspection-confirmed fault case,U,Short circuit in windings,PDF p.6 / printed p.36 / Table 4 / row 11,4
61,D2,1570,1110,1830,1780,175,135,602,Inspection-confirmed fault case,P,"Bushing swollen, tank opened",PDF p.6 / printed p.36 / Table 4 / row 12,4
62,D2,3090,5020,2540,3800,323,270,400,Inspection-confirmed fault case,P,Arcing to magnetic circuit (ground),PDF p.6 / printed p.36 / Table 4 / row 13,4
63,D2,1820,405,634,365,35,1010,8610,Inspection-confirmed fault case,P,Short circuit between conductors,PDF p.6 / printed p.36 / Table 4 / row 14,4
64,D2,535,160,680,305,16,172,338,Inspection-confirmed fault case,R,Arcing inside windings,PDF p.6 / printed p.36 / Table 4 / row 15,4
65,D2,13,3,6,3,1,4,51,Inspection-confirmed fault case,U,Flash-over between dislocated connection and HV bushing turret,PDF p.6 / printed p.36 / Table 4 / row 16,9
66,D2,137,67,104,53,7,196,1678,Inspection-confirmed fault case,U,Flash-over due to lightning overvoltage with burnt insulation and leads,PDF p.6 / printed p.36 / Table 4 / row 17,9
67,D2,1084,188,769,166,8,38,199,Inspection-confirmed fault case,S,Arcing on selector switch ring,PDF p.6 / printed p.36 / Table 4 / row 18,9
68,D2,34,21,56,49,4,95,315,Inspection-confirmed fault case,U,"Arcing between connections to tap changer, burnt areas on windings",PDF p.6 / printed p.36 / Table 4 / row 19,9
69,D2,7940,2000,5390,3120,355,1130,285,Inspection-confirmed fault case,I,Arcing in static shield connections,PDF p.6 / printed p.36 / Table 4 / row 20,10
70,D2,150,130,30,55,9,120,200,Inspection-confirmed fault case,C,"Very short HV high energy discharge, followed by tracking",PDF p.6 / printed p.36 / Table 4 / row 21,13
71,D2,8200,3790,5830,4620,250,31,85,Inspection-confirmed fault case,R,Arcing from bushing to tank,PDF p.6 / printed p.36 / Table 4 / row 22,14
72,D2,260,215,277,334,35,130,416,Inspection-confirmed fault case,P,Arcing in windings,PDF p.6 / printed p.36 / Table 4 / row 23,14
73,D2,75,15,26,14,7,105,322,Inspection-confirmed fault case,P,Arcing in windings,PDF p.6 / printed p.36 / Table 4 / row 24,14
74,D2,530,345,250,266,85,3900,20000,Inspection-confirmed fault case,R,Arcing in windings,PDF p.6 / printed p.36 / Table 4 / row 25,14
75,D2,60,5,21,21,2,188,2510,Inspection-confirmed fault case,P,Arcing in oil,PDF p.6 / printed p.36 / Table 4 / row 26,14
76,D2,90,28,32,31,8,1380,11700,Inspection-confirmed fault case,R,Arcing in wndings,PDF p.6 / printed p.36 / Table 4 / row 27,14
77,D2,220,77,240,170,22,1800,13800,Inspection-confirmed fault case,R,Arcing in wndings,PDF p.6 / printed p.36 / Table 4 / row 28,14
78,D2,5900,1500,2300,1200,68,750,335,Inspection-confirmed fault case,R,Arcing in wndings,PDF p.6 / printed p.36 / Table 4 / row 29,14
79,D2,420,250,800,530,41,300,751,Inspection-confirmed fault case,U,Arcing in wndings,PDF p.6 / printed p.36 / Table 4 / row 30,14
80,D2,2800,2800,3600,3500,234,92,718,Inspection-confirmed fault case,R,Arcing from bushing to tank,PDF p.6 / printed p.36 / Table 4 / row 31,14
81,D2,99,170,190,200,20,140,1160,Inspection-confirmed fault case,R,Arcing in bushing,PDF p.6 / printed p.36 / Table 4 / row 32,14
82,D2,310,230,760,610,54,150,631,Inspection-confirmed fault case,U,Arcing in oil duct,PDF p.6 / printed p.36 / Table 4 / row 33,14
83,D2,800,160,600,260,23,490,690,Inspection-confirmed fault case,U,Arcing in oil duct,PDF p.6 / printed p.36 / Table 4 / row 34,14
84,D2,1500,395,323,395,28,365,576,Inspection-confirmed fault case,P,Arcing from bushing to tank,PDF p.6 / printed p.36 / Table 4 / row 35,14
85,D2,20000,13000,57000,29000,1850,2600,2430,Inspection-confirmed fault case,P,Arcing from windings to core,PDF p.6 / printed p.36 / Table 4 / row 36,14
86,D2,305,85,130,197,25,813,8380,Inspection-confirmed fault case,R,Arcing in windings (molten metal),PDF p.6 / printed p.36 / Table 4 / row 37,14
87,D2,1900,530,434,383,35,1890,7570,Inspection-confirmed fault case,R,Arcing in windings,PDF p.6 / printed p.36 / Table 4 / row 38,14
88,D2,110,62,250,140,90,680,6470,Inspection-confirmed fault case,R,Arcing in windings,PDF p.6 / printed p.36 / Table 4 / row 39,14
89,D2,3700,1690,3270,2810,128,22,86,Inspection-confirmed fault case,P,Arcing in oil (turret),PDF p.6 / printed p.36 / Table 4 / row 40,14
90,D2,2770,660,763,712,54,522,1490,Inspection-confirmed fault case,P,Arcing in oil (turret),PDF p.6 / printed p.36 / Table 4 / row 41,14
91,D2,245,120,167,131,18,829,4250,Inspection-confirmed fault case,R,Arcing from bushing to tank,PDF p.6 / printed p.36 / Table 4 / row 42,14
92,D2,1170,255,325,312,18,5,1800,Inspection-confirmed fault case,P,Arcing from HV to tank,PDF p.6 / printed p.36 / Table 4 / row 43,14
93,D2,4419,3564,2025,2861,668,909,9082,Inspection-confirmed fault case,R,Arcing from bushing to tank,PDF p.6 / printed p.36 / Table 4 / row 44,14
94,D2,810,580,490,570,111,1100,6800,Inspection-confirmed fault case,R,Arcing in bushing,PDF p.6 / printed p.36 / Table 4 / row 45,14
95,D2,5000,1200,1100,1000,83,140,265,Inspection-confirmed fault case,R,Arcing in bushing insulation,PDF p.6 / printed p.36 / Table 4 / row 46,14
96,D2,10000,6730,10400,7330,345,1980,3830,Inspection-confirmed fault case,U,Arcing in OLTC and windings,PDF p.6 / printed p.36 / Table 4 / row 47,14
97,D2,1570,735,1740,1330,87,711,4240,Inspection-confirmed fault case,U,Arcing in oil from copper bus to tank,PDF p.6 / printed p.36 / Table 4 / row 48,14
98,T1/T2,1270,3450,8,1390,520,483,44500,Inspection-confirmed fault case,P,High circulating currents between conductors with winding damage,PDF p.7 / printed p.37 / Table 5 / row 1,3
99,T1/T2,3420,7870,33,6990,1500,573,4640,Inspection-confirmed fault case,P,Circulating currents in LV windings and core,PDF p.7 / printed p.37 / Table 5 / row 2,3
100,T1/T2,360,610,9,260,259,12000,74200,Inspection-confirmed fault case,I,Thermal runaway inside thick insulation with puncture / carbonization of paper,PDF p.7 / printed p.37 / Table 5 / row 3,5
101,T1/T2,1,27,1,4,49,53,254,Inspection-confirmed fault case,I,Thermal runaway in thick paper insulation,PDF p.7 / printed p.37 / Table 5 / row 4,5
102,T1/T2,3675,6392,5,7691,2500,101,833,Inspection-confirmed fault case,U,"Blackened area within windings, interturn fault, open circuit parallel path",PDF p.7 / printed p.37 / Table 5 / row 5,9
103,T1/T2,1450,940,61,322,211,2420,3560,Inspection-confirmed fault case,U,Overheating of core to ground and insulation shields (narrow oil ducts),PDF p.7 / printed p.37 / Table 5 / row 9,14
104,T1/T2,960,4000,6,1560,1290,15800,50300,Inspection-confirmed fault case,I,Hot spot in paper,PDF p.7 / printed p.37 / Table 5 / row 11,14
105,T1/T2,24700,61000,1560,42100,26300,14400,30400,Inspection-confirmed fault case,I,Hot spot in paper,PDF p.7 / printed p.37 / Table 5 / row 12,14
106,T1/T2,14,44,1,7,124,128,2746,Inspection-confirmed fault case,P,Overheating of conductor < 200 °C,PDF p.7 / printed p.37 / Table 5 / row 13,16
107,T1/T2,40000,400,6,600,70,800,218,Inspection-confirmed fault case,B,Thermodielectric failure,PDF p.7 / printed p.37 / Table 5 / row 16,18
108,T3,6709,10500,750,17700,1400,290,1500,Inspection-confirmed fault case,P,Circulating currents between yoke clamps and connecting bolts,PDF p.7 / printed p.37 / Table 6 / row 2,3
109,T3,290,966,57,1810,299,72,756,Inspection-confirmed fault case,P,Steel lamination eroded,PDF p.7 / printed p.37 / Table 6 / row 4,4
110,T3,2500,10500,6,13500,4790,530,2310,Inspection-confirmed fault case,P,Circulating currents in clamping bolt,PDF p.7 / printed p.37 / Table 6 / row 5,4
111,T3,860,1670,40,2050,30,10,690,Inspection-confirmed fault case,U,Lengthy overheating of tap changer contacts,PDF p.7 / printed p.37 / Table 6 / row 7,6
112,T3,400,940,24,820,210,390,1700,Inspection-confirmed fault case,P,High contact resistance of winding terminal,PDF p.7 / printed p.37 / Table 6 / row 9,10
113,T3,6,2990,67,26076,29990,6,26,Inspection-confirmed fault case,P,Ground wiring burnt and ruptured by circulating current,PDF p.7 / printed p.37 / Table 6 / row 10,10
114,T3,100,200,11,670,110,100,650,Inspection-confirmed fault case,U,Burnt copper contacts in change over selector,PDF p.7 / printed p.37 / Table 6 / row 11,11
115,T3,290,1260,8,820,231,228,826,Inspection-confirmed fault case,P,Bad contact in windings,PDF p.7 / printed p.37 / Table 6 / row 12,14
116,T3,1550,2740,184,5450,816,1140,9360,Inspection-confirmed fault case,R,Bad contact in defective weld in windings,PDF p.7 / printed p.37 / Table 6 / row 13,14
117,T3,3910,4290,1230,6040,626,1800,11500,Inspection-confirmed fault case,R,Hot spots in laminations,PDF p.7 / printed p.37 / Table 6 / row 14,14
118,T3,12705,23498,5188,34257,6047,4004,8539,Inspection-confirmed fault case,R,Hot spot in laminations (molten steel),PDF p.7 / printed p.37 / Table 6 / row 15,14
119,T3,1,8,6,100,8,300,5130,Inspection-confirmed fault case,R,Hot spot on bushing,PDF p.7 / printed p.37 / Table 6 / row 16,14
120,T3,300,700,36,1700,280,760,9250,Inspection-confirmed fault case,R,High temperature in laminations,PDF p.7 / printed p.37 / Table 6 / row 17,14
121,T3,107,143,2,222,34,193,1330,Inspection-confirmed fault case,P,Burnt lamination during heat run test,PDF p.7 / printed p.37 / Table 6 / row 18,14
